Spell_Primary_Diagnosis,emergency_elderly_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
J702,59,J702,J702: Acute drug-induced interstitial lung disorders,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J703,11,J703,J703: Chronic drug-induced interstitial lung disorders,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J704,164,J704,"J704: Drug-induced interstitial lung disorders, unspecified",J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J708,30,J708,J708: Respiratory conditions due to other specified external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J709,1,J709,J709: Respiratory conditions due to unspecified external agent,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,J60-J70,J60-J70: Lung diseases due to external agents,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J80X,209,J80X,J80X: Adult respiratory distress syndrome,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2181,3,M2181,M2181: Other specified acquired deformities of limbs: Shoulder region,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2182,1,M2182,M2182: Other specified acquired deformities of limbs: Upper arm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2183,1,M2183,M2183: Other specified acquired deformities of limbs: Forearm,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2184,1,M2184,M2184: Other specified acquired deformities of limbs: Hand,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2185,6,M2185,M2185: Other specified acquired deformities of limbs: Pelvic region and thigh,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2186,5,M2186,M2186: Other specified acquired deformities of limbs: Lower leg,M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M219,1,M219,"M219: Acquired deformity of limb, unspecified",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2190,1,M2190,"M2190: Acquired deformity of limb, unspecified: Multiple sites",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2191,20,M2191,"M2191: Acquired deformity of limb, unspecified: Shoulder region",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2192,2,M2192,"M2192: Acquired deformity of limb, unspecified: Upper arm",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2193,5,M2193,"M2193: Acquired deformity of limb, unspecified: Forearm",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H158,12,H158,H158: Other disorders of sclera,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H159,3,H159,"H159: Disorder of sclera, unspecified",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H160,1713,H160,H160: Corneal ulcer,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H161,19,H161,H161: Other superficial keratitis without conjunctivitis,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H162,55,H162,H162: Keratoconjunctivitis,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H163,174,H163,H163: Interstitial and deep keratitis,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H164,9,H164,H164: Corneal neovascularization,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H168,153,H168,H168: Other keratitis,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H169,193,H169,"H169: Keratitis, unspecified",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
H178,3,H178,H178: Other corneal scars and opacities,H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",H15-H22,"H15-H22: Disorders of sclera, cornea, iris and ciliary body",7,VII,VII: Diseases of the eye and adnexa,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J81X,2703,J81X,J81X: Pulmonary oedema,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J82X,844,J82X,"J82X: Pulmonary eosinophilia, not elsewhere classified",J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J840,29,J840,J840: Alveolar and parietoalveolar conditions,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J841,21557,J841,J841: Other interstitial pulmonary diseases with fibrosis,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J848,297,J848,J848: Other specified interstitial pulmonary diseases,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J849,4977,J849,"J849: Interstitial pulmonary disease, unspecified",J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,J80-J84,J80-J84: Other respiratory diseases principally affecting the interstitium,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J850,180,J850,J850: Gangrene and necrosis of lung,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J851,686,J851,J851: Abscess of lung with pneumonia,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J852,394,J852,J852: Abscess of lung without pneumonia,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2195,7,M2195,"M2195: Acquired deformity of limb, unspecified: Pelvic region and thigh",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2196,11,M2196,"M2196: Acquired deformity of limb, unspecified: Lower leg",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M2197,3,M2197,"M2197: Acquired deformity of limb, unspecified: Ankle and foot",M20-M25,M20-M25: Other joint disorders,M20-M25,M20-M25: Other joint disorders,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4709,1,M4709,M4709: Anterior spinal and vertebral artery compression syndromes: Site unspecified,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Dagger,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M471,75,M471,M471: Other spondylosis with myelopathy,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4710,120,M4710,M4710: Other spondylosis with myelopathy: Multiple sites in spine,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4711,3,M4711,M4711: Other spondylosis with myelopathy: Occipito-atlanto-axial region,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4712,476,M4712,M4712: Other spondylosis with myelopathy: Cervical region,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M4713,12,M4713,M4713: Other spondylosis with myelopathy: Cervicothoracic region,M45-M49,M45-M49: Spondylopathies,M45-M49,M45-M49: Spondylopathies,M40-M54,M40-M54: Dorsopathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A259,1,A259,"A259: Rat-bite fever, unspecified",A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A267,2,A267,A267: Erysipelothrix sepsis,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N001,4,N001,N001: Acute nephritic syndrome: Focal and segmental glomerular lesions,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N002,3,N002,N002: Acute nephritic syndrome: Diffuse membranous glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N003,1,N003,N003: Acute nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N004,1,N004,N004: Acute nephritic syndrome: Diffuse endocapillary proliferative glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N005,5,N005,N005: Acute nephritic syndrome: Diffuse mesangiocapillary glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N006,1,N006,N006: Acute nephritic syndrome: Dense deposit disease,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N007,4,N007,N007: Acute nephritic syndrome: Diffuse crescentic glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N008,8,N008,N008: Acute nephritic syndrome: Other,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N009,22,N009,N009: Acute nephritic syndrome: Unspecified,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N011,1,N011,N011: Rapidly progressive nephritic syndrome: Focal and segmental glomerular lesions,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N013,1,N013,N013: Rapidly progressive nephritic syndrome: Diffuse mesangial proliferative glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N017,10,N017,N017: Rapidly progressive nephritic syndrome: Diffuse crescentic glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N018,4,N018,N018: Rapidly progressive nephritic syndrome: Other,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N019,6,N019,N019: Rapidly progressive nephritic syndrome: Unspecified,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N020,18,N020,N020: Recurrent and persistent haematuria: Minor glomerular abnormality,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N021,7,N021,N021: Recurrent and persistent haematuria: Focal and segmental glomerular lesions,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N022,106,N022,N022: Recurrent and persistent haematuria: Diffuse membranous glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N023,7,N023,N023: Recurrent and persistent haematuria: Diffuse mesangial proliferative glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N025,2,N025,N025: Recurrent and persistent haematuria: Diffuse mesangiocapillary glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N027,3,N027,N027: Recurrent and persistent haematuria: Diffuse crescentic glomerulonephritis,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N028,278,N028,N028: Recurrent and persistent haematuria: Other,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
N029,1278,N029,N029: Recurrent and persistent haematuria: Unspecified,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,N00-N08,N00-N08: Glomerular diseases,14,XIV,XIV: Diseases of the genitourinary system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
J853,15,J853,J853: Abscess of mediastinum,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,J85-J86,J85-J86: Suppurative and necrotic conditions of lower respiratory tract,10,X,X: Diseases of the respiratory system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R899,7,R899,"R899: Abnormal findings in specimens from other organs, systems and tissues: Unspecified abnormal finding",R83-R89,"R83-R89: Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",R83-R89,"R83-R89: Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",R83-R89,"R83-R89: Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R900,1194,R900,R900: Intracranial space-occupying lesion,R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R908,270,R908,R908: Other abnormal findings on diagnostic imaging of central nervous system,R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R91X,3551,R91X,R91X: Abnormal findings on diagnostic imaging of lung,R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R92X,16,R92X,R92X: Abnormal findings on diagnostic imaging of breast,R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
R930,415,R930,"R930: Abnormal findings on diagnostic imaging of skull and head, not elsewhere classified",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"R90-R94: Abnormal findings on diagnostic imaging and in function studies, without diagnosis",18,XVIII,"XVIII: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A269,2,A269,"A269: Erysipeloid, unspecified",A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A278,1,A278,A278: Other forms of leptospirosis,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A279,9,A279,"A279: Leptospirosis, unspecified",A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A280,52,A280,A280: Pasteurellosis,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
A281,5,A281,A281: Cat-scratch disease,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,A20-A28,A20-A28: Certain zoonotic bacterial diseases,1,I,I: Certain infectious and parasitic diseases,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
