Spell_Primary_Diagnosis,eol_broad_count,ICD10_L4_Code,ICD10_L4_Desc,ICD10_L3_Code,ICD10_L3_Desc,ICD10_L2_Code,ICD10_L2_Desc,ICD10_L1_Code,ICD10_L1_Desc,ICD10_Chapter_No,ICD10_Chapter_Code,ICD10_Chapter_Desc,ICD10_Usage,ICD10_Version,ICD10_Status,ICD10_Valid_From,ICD10_Valid_To
M1399,18,M1399,"M1399: Arthritis, unspecified: Site unspecified",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D528,40,D528,D528: Other folate deficiency anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D529,5398,D529,"D529: Folate deficiency anaemia, unspecified",D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D530,1,D530,D530: Protein deficiency anaemia,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D531,119,D531,"D531: Other megaloblastic anaemias, not elsewhere classified",D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D538,5,D538,D538: Other specified nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D539,380,D539,"D539: Nutritional anaemia, unspecified",D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,D50-D53,D50-D53: Nutritional anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D550,3,D550,D550: Anaemia due to glucose-6-phosphate dehydrogenase [G6PD] deficiency,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D552,33,D552,D552: Anaemia due to disorders of glycolytic enzymes,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D559,2,D559,"D559: Anaemia due to enzyme disorder, unspecified",D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D560,24,D560,D560: Alpha thalassaemia,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M142,6,M142,M142: Diabetic arthropathy,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M146,71,M146,M146: Neuropathic arthropathy,M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Asterisk,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E212,32,E212,E212: Other hyperparathyroidism,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E213,217,E213,"E213: Hyperparathyroidism, unspecified",E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E214,1,E214,E214: Other specified disorders of parathyroid gland,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E215,6,E215,"E215: Disorder of parathyroid gland, unspecified",E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E220,95,E220,E220: Acromegaly and pituitary gigantism,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E221,20,E221,E221: Hyperprolactinaemia,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E222,2547,E222,E222: Syndrome of inappropriate secretion of antidiuretic hormone,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E230,149,E230,E230: Hypopituitarism,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E231,9,E231,E231: Drug-induced hypopituitarism,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D561,643,D561,D561: Beta thalassaemia,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D563,50,D563,D563: Thalassaemia trait,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D564,1,D564,D564: Hereditary persistence of fetal haemoglobin [HPFH],D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D569,34,D569,"D569: Thalassaemia, unspecified",D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D570,1421,D570,D570: Sickle-cell anaemia with crisis,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D571,839,D571,D571: Sickle-cell anaemia without crisis,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D572,48,D572,D572: Double heterozygous sickling disorders,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D573,16,D573,D573: Sickle-cell trait,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D578,3,D578,D578: Other sickle-cell disorders,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D580,220,D580,D580: Hereditary spherocytosis,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D581,19,D581,D581: Hereditary elliptocytosis,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E232,55,E232,E232: Diabetes insipidus,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E233,9,E233,"E233: Hypothalamic dysfunction, not elsewhere classified",E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E236,100,E236,E236: Other disorders of pituitary gland,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E237,33,E237,"E237: Disorder of pituitary gland, unspecified",E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E240,29,E240,E240: Pituitary-dependent Cushing's disease,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E242,22,E242,E242: Drug-induced Cushing's syndrome,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
E243,50,E243,E243: Ectopic ACTH syndrome,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,E20-E35,E20-E35: Disorders of other endocrine glands,4,IV,"IV: Endocrine, nutritional and metabolic diseases",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G401,860,G401,G401: Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with simple partial seizures,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G402,417,G402,G402: Localization-related (focal)(partial) symptomatic epilepsy and epileptic syndromes with complex partial seizures,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G403,3751,G403,G403: Generalized idiopathic epilepsy and epileptic syndromes,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D582,62,D582,D582: Other haemoglobinopathies,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D588,24,D588,D588: Other specified hereditary haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D589,515,D589,"D589: Hereditary haemolytic anaemia, unspecified",D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D590,59,D590,D590: Drug-induced autoimmune haemolytic anaemia,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D591,4586,D591,D591: Other autoimmune haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D592,64,D592,D592: Drug-induced nonautoimmune haemolytic anaemia,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D593,50,D593,D593: Haemolytic-uraemic syndrome,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D594,221,D594,D594: Other nonautoimmune haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D595,399,D595,D595: Paroxysmal nocturnal haemoglobinuria [Marchiafava-Micheli],D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D596,12,D596,D596: Haemoglobinuria due to haemolysis from other external causes,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G404,108,G404,G404: Other generalized epilepsy and epileptic syndromes,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G405,269,G405,G405: Special epileptic syndromes,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G406,235,G406,"G406: Grand mal seizures, unspecified (with or without petit mal)",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G407,38,G407,"G407: Petit mal, unspecified, without grand mal seizures",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G408,289,G408,G408: Other epilepsy,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G409,7367,G409,"G409: Epilepsy, unspecified",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G410,457,G410,G410: Grand mal status epilepticus,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G411,10,G411,G411: Petit mal status epilepticus,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G412,73,G412,G412: Complex partial status epilepticus,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G418,308,G418,G418: Other status epilepticus,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G419,2286,G419,"G419: Status epilepticus, unspecified",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D598,87,D598,D598: Other acquired haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D599,199,D599,"D599: Acquired haemolytic anaemia, unspecified",D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,D55-D59,D55-D59: Haemolytic anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
D600,70,D600,D600: Chronic acquired pure red cell aplasia,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,D60-D64,D60-D64: Aplastic and other anaemias,3,III,III: Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S2750,2,S2750,S2750: Injury of thoracic trachea: without open wound into thoracic cavity,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S2760,4,S2760,S2760: Injury of pleura: without open wound into thoracic cavity,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S2770,2,S2770,S2770: Multiple injuries of intrathoracic organs: without open wound into thoracic cavity,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
S278,4,S278,S278: Injury of other specified intrathoracic organs,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,S20-S29,S20-S29: Injuries to the thorax,19,XIX,"XIX: Injury, poisoning and certain other consequences of external causes",Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1196,141,M1196,"M1196: Crystal arthropathy, unspecified: Lower leg",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1197,22,M1197,"M1197: Crystal arthropathy, unspecified: Ankle and foot",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
M1198,3,M1198,"M1198: Crystal arthropathy, unspecified: Other",M05-M14,M05-M14: Inflammatory polyarthropathies,M05-M14,M05-M14: Inflammatory polyarthropathies,M00-M25,M00-M25: Arthropathies,13,XIII,XIII: Diseases of the musculoskeletal system and connective tissue,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G430,22,G430,G430: Migraine without aura [common migraine],G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G431,140,G431,G431: Migraine with aura [classical migraine],G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G432,1,G432,G432: Status migrainosus,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G433,10,G433,G433: Complicated migraine,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G438,61,G438,G438: Other migraine,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G439,782,G439,"G439: Migraine, unspecified",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G440,50,G440,G440: Cluster headache syndrome,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G441,3,G441,"G441: Vascular headache, not elsewhere classified",G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G442,353,G442,G442: Tension-type headache,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
G443,7,G443,G443: Chronic post-traumatic headache,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,G40-G47,G40-G47: Episodic and paroxysmal disorders,6,VI,VI: Diseases of the nervous system,Default,ICD10 5th Edition,Live,2016-04-01 00:00:00,
